brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date,city_encoded,state_encoded
22700.0,for_sale,289900.0,5.0,3.0,0.14,1584402.0,Springfield,Massachusetts,1108.0,2328.0,1987-11-20,24,2
22611.0,for_sale,349900.0,3.0,2.0,0.51,1638021.0,Manchester,Connecticut,6040.0,1828.0,2000-07-31,35,3
75650.0,for_sale,249900.0,3.0,1.0,0.23,114997.0,Enfield,Connecticut,6082.0,1220.0,2003-11-14,36,3
51868.0,for_sale,300000.0,3.0,1.0,0.69,523930.0,Stafford,Connecticut,6076.0,1192.0,2003-11-17,34,3
67269.0,for_sale,350000.0,4.0,4.0,0.21,1169341.0,Springfield,Massachusetts,1129.0,2016.0,2007-07-24,24,2
11863.0,for_sale,260000.0,3.0,1.0,0.39,185588.0,Palmer,Massachusetts,1069.0,1166.0,2013-01-16,37,2
15017.0,for_sale,248900.0,3.0,2.0,0.26,1296964.0,Ellington,Connecticut,6029.0,1174.0,2008-07-09,32,3
33507.0,for_sale,375000.0,9.0,3.0,0.11,508555.0,Springfield,Massachusetts,1151.0,3656.0,2008-06-18,24,2
76368.0,for_sale,129900.0,4.0,2.0,1.0,1106102.0,Brimfield,Massachusetts,1010.0,1765.0,2003-11-26,38,2
108777.0,for_sale,164900.0,2.0,1.0,0.35,955719.0,Brimfield,Massachusetts,1010.0,814.0,2004-01-16,38,2
95093.0,for_sale,559000.0,4.0,4.0,1.52,281111.0,Brimfield,Massachusetts,1010.0,3408.0,2005-03-30,38,2
53016.0,for_sale,899900.0,3.0,4.0,5.93,909921.0,Brimfield,Massachusetts,1010.0,5500.0,1993-04-01,38,2
81218.0,for_sale,115900.0,3.0,1.0,0.25,687776.0,Chester,Massachusetts,1011.0,1367.0,2009-11-13,39,2
35275.0,for_sale,160000.0,1.0,1.0,0.47,1385832.0,Cummington,Massachusetts,1026.0,608.0,2019-10-25,40,2
22789.0,for_sale,649000.0,3.0,3.0,21.0,1050125.0,Granville,Massachusetts,1034.0,3362.0,1996-06-27,41,2
77236.0,for_sale,149900.0,3.0,2.0,0.24,1069256.0,Becket,Massachusetts,1223.0,1422.0,1994-07-20,42,2
22700.0,for_sale,289900.0,3.0,3.0,0.14,1761666.0,Springfield,Massachusetts,1104.0,1588.0,2005-06-09,24,2
53016.0,for_sale,439900.0,3.0,2.0,1.13,985321.0,Westfield,Massachusetts,1085.0,2448.0,2004-10-29,43,2
2241.0,for_sale,379900.0,3.0,2.0,0.49,1784604.0,Agawam,Massachusetts,1030.0,1708.0,1992-08-06,2,2
54145.0,for_sale,149900.0,2.0,1.0,3.0,1724901.0,Savoy,Massachusetts,1256.0,980.0,2006-09-20,44,2
98727.0,for_sale,195000.0,2.0,1.0,0.12,1716807.0,Springfield,Massachusetts,1104.0,864.0,1994-06-30,24,2
53016.0,for_sale,349900.0,3.0,2.0,4.28,1066928.0,Southwick,Massachusetts,1077.0,1410.0,1990-03-28,45,2
37775.0,for_sale,299900.0,3.0,2.0,0.37,680813.0,West Springfield,Massachusetts,1089.0,1269.0,2017-11-17,21,2
